"TimeCreated","EventID","Level","Source","Message","ProcessId","ThreadId","Keywords","IsDLPRelevant","DLPCategory","ClassificationReason"
"9/24/2025 10:59:45 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","46460","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/24/2025 10:59:45 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","46460","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/24/2025 10:54:21 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","66952","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/24/2025 10:54:21 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","66952","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/24/2025 10:53:34 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","34376","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/24/2025 10:53:34 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","34376","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/24/2025 10:37:11 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","72696","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/24/2025 10:37:11 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","72696","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/23/2025 8:48:38 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","948","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/23/2025 8:47:50 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","32112","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/23/2025 8:47:50 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","32112","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/23/2025 8:33:13 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","948","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/23/2025 8:33:13 AM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","948","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/22/2025 1:26:35 PM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","2384","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/22/2025 1:26:34 PM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","12444","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/22/2025 1:26:34 PM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","12444","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
"9/22/2025 1:25:48 PM","7000","Error","Service Control Manager","The IntelTACD service failed to start due to the following error: 
The system cannot find the file specified.","1660","2384","Classic","False","SystemMaintenance","Non-DLP service: IntelTACD"
